"product_name","is_he","switch_type","layout","review"
"Aura Blaze X",1,"Jade","75%","{""username"": ""SleepyWriter33_fedb"", ""review_details"": ""An average mechanical keyboard experience. Adjustable actuation points are incredibly useful. Mushy feeling, lacks crispness. I chose the Jade switches and I'm not impressed.""}"
"Mech Shift Air","","Navy","60%","{""username"": ""SwiftGamer776_2eee"", ""review_details"": ""Three stars - average. Stabilizers are surprisingly good, minimal rattle. It's an okay keyboard, does the job. Really miss having a dedicated numpad. The 60% layout is interesting. Accidentally actuating keys too often. I chose the Navy switches and I'm not impressed.""}"
"Quantum Byte Pro 851",1,"Black","TKL","{""username"": ""GeekyNinja546_95d1"", ""review_details"": ""Standard layout makes finding keycaps easy. The TKL layout is interesting. Linear switches are great for gaming. The Black switches are particularly good. My new daily driver.""}"
"Stealth Drift Mini 661","","Silent Red","100%","{""username"": ""HappyTypist513_c525"", ""review_details"": ""Not what I expected. One star. Non-detachable cable is inconvenient.""}"
"Mech Core Max",1,"Clear","TKL","{""username"": ""WiredNinja59_901d"", ""review_details"": ""Heavy and sturdy, doesn't slide around. Satisfyingly clicky sound! The Clear switches are particularly good. Finally found my endgame keyboard.""}"
"Shadow Spectre V2 981",True,"Silent Black","TKL","{""username"": ""SilentPanda536_6791"", ""review_details"": ""Exceeded my expectations! Keycaps have a nice texture. The switches feel incredibly smooth. The Silent Black switches are particularly good.""}"
"Stealth Striker X 921",True,"Silent Black",80,"{""username"": ""CasualWriter211_b81e"", ""review_details"": ""RGB lighting is vibrant and customizable. You get what you pay for. Switches feel scratchy. I chose the Silent Black switches and I'm not impressed. An average mechanical keyboard experience. The compact layout saves so much desk space. The 80 layout is interesting.""}"
"Arctic Forge Elite",1,"Brown",60,"{""username"": ""AngryBear136_f618"", ""review_details"": ""Feels cheap and unreliable. The plastic body feels a bit cheap. Rapid trigger feature works flawlessly. One star.""}"
"Giga Shift Alpha",0,"Brown",60,"{""username"": ""HappyFox634_ce46"", ""review_details"": ""Too loud for an office environment. I chose the Brown switches and I'm not impressed. Perfect balance between size and functionality. The 60 layout is interesting. Would not recommend this keyboard. Had high hopes, but it fell short. RGB lighting is dim.""}"
"Arctic Byte Max","","Clear","80%","{""username"": ""ProNinja990_ffd6"", ""review_details"": ""An average mechanical keyboard experience. Having dedicated arrow keys is essential for me. The 80% layout is interesting. Non-detachable cable is inconvenient.""}"
"Hyper Blaze Lite","","Red","80%","{""username"": ""HappyCat168_8145"", ""review_details"": ""Keycaps feel thin and collect fingerprints. Switches feel scratchy. I chose the Red switches and I'm not impressed. Save your money.""}"
"Aura Drift Lite","","Silver","100%","{""username"": ""SleepyBear784_7950"", ""review_details"": ""The compact layout saves so much desk space. The 100% layout is interesting. One star. Switches feel scratchy. I chose the Silver switches and I'm not impressed.""}"
"Nova Forge Pro 472","","Silent Red","Full","{""username"": ""SwiftTypist800_5ee4"", ""review_details"": ""Standard layout makes finding keycaps easy. The Full layout is interesting. Three stars - average. Using the Silent Red switches takes some getting used to. Good for the price, but not perfect. Non-detachable cable is inconvenient.""}"
"Arctic Raptor Pro",True,"Orange","65%","{""username"": ""WiredPanda905_6a46"", ""review_details"": ""It's decent, but keep your expectations in check. Linear switches are great for gaming. The Orange switches are particularly good. RGB lighting is vibrant and customizable.""}"
"Hyper Pulse XT 630",False,"Yellow",65,"{""username"": ""CasualDev607_00d4"", ""review_details"": ""Non-detachable cable is inconvenient. Having dedicated arrow keys is essential for me. The 65 layout is interesting. Switches feel scratchy. I chose the Yellow switches and I'm not impressed. Several issues right out of the box.""}"
"Cyber Raptor SE",False,"Jade",60,"{""username"": ""HappyCoder887_2bd2"", ""review_details"": ""Highly recommend! Really miss having a dedicated numpad. The 60 layout is interesting. Stabilizers are surprisingly good, minimal rattle. Absolutely love this keyboard! Satisfyingly clicky sound! The Jade switches are particularly good.""}"
"Quantum Core Alpha",False,"Silent Black","80%","{""username"": ""SleepyWriter341_b892"", ""review_details"": ""Keycaps have a nice texture. Highly recommend! Finally found my endgame keyboard. Low actuation force is comfortable. The Silent Black switches are particularly good.""}"
"Aura Weaver Max 300",False,"Brown","65%","{""username"": ""HappyNinja581_2a1b"", ""review_details"": ""Linear switches are great for gaming. The Brown switches are particularly good. Absolutely love this keyboard! Braided cable is a nice touch.""}"
"Nova Raptor X",True,"Blue","60%","{""username"": ""ProGamer394_8f20"", ""review_details"": ""Low actuation force is comfortable. The Blue switches are particularly good. My new daily driver. Solid build quality and performance.""}"
"Stealth Phantom Alpha",True,"White","65%","{""username"": ""AngryWriter241_50ba"", ""review_details"": ""Being able to customize the reset point is fantastic. Non-detachable cable is inconvenient. One star.""}"
"Nova Byte Omega 369",False,"Orange","65%","{""username"": ""CleverCat118_2df0"", ""review_details"": ""Really miss having a dedicated numpad. The 65% layout is interesting. Decent, but has its flaws. Linear switches are great for gaming. The Orange switches are particularly good.""}"
"Stellar Core X 482",True,"Black","Full","{""username"": ""WiredTypist513_77ac"", ""review_details"": ""Perfect tactility for typing. The Black switches are particularly good. Definitely worth the money. Perfect balance between size and functionality. The Full layout is interesting. Keycaps have a nice texture. A joy to type on every day.""}"
"Nova Byte XT",1,"Green","100%","{""username"": ""SleepyCoder259_bfb2"", ""review_details"": ""Had high hopes, but it fell short. The smoothness of these magnetic switches is unparalleled. Save your money. Keypresses feel inconsistent. I chose the Green switches and I'm not impressed. Noticeable case ping. The compact layout saves so much desk space. The 100% layout is interesting.""}"
"Lunar Core Elite","","Orange","100%","{""username"": ""ProPanda123_ce69"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 100% layout is interesting. Low actuation force is comfortable. The Orange switches are particularly good. Decent, but has its flaws.""}"
"Hyper Shift X",0,"Jade","65%","{""username"": ""GeekyTypist997_8c7a"", ""review_details"": ""Definitely worth the money. Braided cable is a nice touch. Low actuation force is comfortable. The Jade switches are particularly good. Finally found my endgame keyboard. Really miss having a dedicated numpad. The 65% layout is interesting.""}"
"Giga Spectre Lite",False,"Silent Red",80,"{""username"": ""AngryDev128_6ba9"", ""review_details"": ""My new daily driver. Took some time to get used to the layers. The 80 layout is interesting. Finally found my endgame keyboard. RGB lighting is vibrant and customizable. Satisfyingly clicky sound! The Silent Red switches are particularly good.""}"
"Nova Striker XT","","Silent Red",100,"{""username"": ""CleverFox363_1dd4"", ""review_details"": ""The compact layout saves so much desk space. The 100 layout is interesting. Decent, but has its flaws. You get what you pay for. Accidentally actuating keys too often. I chose the Silent Red switches and I'm not impressed. Keycaps feel thin and collect fingerprints.""}"
"Giga Forge SE","","Silent Black","65%","{""username"": ""AngryFox197_41c8"", ""review_details"": ""Had high hopes, but it fell short. Would not recommend this keyboard. Keycaps feel thin and collect fingerprints.""}"
"Mech Weaver Max 150",0,"Silent Black","TKL","{""username"": ""GeekyDev252_35f2"", ""review_details"": ""A joy to type on every day. Stabilizers are surprisingly good, minimal rattle. Really miss having a dedicated numpad. The TKL layout is interesting. Linear switches are great for gaming. The Silent Black switches are particularly good. My new daily driver.""}"
"Quantum Raptor Omega 846",True,"Silent Red","65%","{""username"": ""WiredCat883_ca1c"", ""review_details"": ""Good entry-level option maybe. It's an okay keyboard, does the job. Really miss having a dedicated numpad. The 65% layout is interesting.""}"
"Giga Shift Pro",1,"Brown","TKL","{""username"": ""CasualPanda133_c3bc"", ""review_details"": ""Incredible value for the price. Low actuation force is comfortable. The Brown switches are particularly good. RGB lighting is vibrant and customizable. Having dedicated arrow keys is essential for me. The TKL layout is interesting.""}"
"Giga Weaver Elite 431",0,"White","75%","{""username"": ""WiredWriter881_0e64"", ""review_details"": ""Standard layout makes finding keycaps easy. The 75% layout is interesting. Stabilizers rattle quite a bit, especially the spacebar. Decent, but has its flaws.""}"
"Mech Core V2",1,"Black",65,"{""username"": ""GeekyCoder755_90b2"", ""review_details"": ""Being able to customize the reset point is fantastic. Exceeded my expectations! The switches feel incredibly smooth. The Black switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Took some time to get used to the layers. The 65 layout is interesting.""}"
"Cyber Striker Alpha 988",0,"White","100%","{""username"": ""GeekyGamer426_097f"", ""review_details"": ""The plastic body feels a bit cheap. Look elsewhere if you value quality. Feels cheap and unreliable.""}"
"Quantum Raptor Alpha 101","","Orange",65,"{""username"": ""ProWriter726_ec37"", ""review_details"": ""Perfect balance between size and functionality. The 65 layout is interesting. Three stars - average. It's an okay keyboard, does the job. Spring ping is quite noticeable. I chose the Orange switches and I'm not impressed. Heavy and sturdy, doesn't slide around.""}"
"Giga Spectre Omega",0,"Green","60%","{""username"": ""ProFox722_d621"", ""review_details"": ""Three stars - average. Took some time to get used to the layers. The 60% layout is interesting. Linear switches are great for gaming. The Green switches are particularly good. Stabilizers rattle quite a bit, especially the spacebar. It's an okay keyboard, does the job.""}"
